mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__num_leaves,param_model__subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
32.60285552342733,2.9905223344689054,0.13035384813944498,0.061222011771036304,,0.9389628960580698,0.002327392228062871,12,288,51,0.7468055921327309,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9389628960580698), 'model__learning_rate': np.float64(0.002327392228062871), 'model__max_depth': 12, 'model__n_estimators': 288, 'model__num_leaves': 51, 'model__subsample': np.float64(0.7468055921327309)}",0.5701096364685516,0.5744803695150116,0.5848729792147807,0.5764876617327813,0.006191983462310898,13,0.5316828388011893,0.5286592220373045,0.5471490054178569,0.5358303554187835,0.00809812500664418,13,0.7842585787465008,0.740165604475776,0.8401152626177796,0.7881798152800187,0.04089837496885579,14
13.999021212259928,0.11867598503367698,0.08107272783915202,0.017424277365877875,,0.7299924747454009,0.008288916866885139,9,199,38,0.9124217733388136,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.7299924747454009), 'model__learning_rate': np.float64(0.008288916866885139), 'model__max_depth': 9, 'model__n_estimators': 199, 'model__num_leaves': 38, 'model__subsample': np.float64(0.9124217733388136)}",0.6064627813040969,0.601039260969977,0.6079676674364896,0.6051565699035212,0.0029754938199172947,10,0.585199077160313,0.5737913007223041,0.5852110049092263,0.5814004609306145,0.005380490985935453,12,0.7960731092130501,0.8070938129380448,0.8580832883218215,0.8204167368243054,0.027011612366224978,5
47.179009119669594,0.6588432476518434,0.2690407435099284,0.019635572938734608,balanced,0.71692347370813,0.027796975515266834,10,485,58,0.7550213529560301,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.71692347370813), 'model__learning_rate': np.float64(0.027796975515266834), 'model__max_depth': 10, 'model__n_estimators': 485, 'model__num_leaves': 58, 'model__subsample': np.float64(0.7550213529560301)}",0.6422388920946336,0.6229792147806005,0.6212471131639723,0.6288217400130688,0.009513675121895514,6,0.6336890448403547,0.613565859355819,0.6136095223740501,0.6202881421900747,0.009475885903931931,4,0.833436418568752,0.7804044436074177,0.8527847068501038,0.8222085230087579,0.030597111582628584,4
17.21679186820984,1.5937166363256632,0.07614620526631673,0.0031585164635675564,balanced,0.8834959481464842,0.001033076804324041,13,148,57,0.8835558684167137,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8834959481464842), 'model__learning_rate': np.float64(0.001033076804324041), 'model__max_depth': 13, 'model__n_estimators': 148, 'model__num_leaves': 57, 'model__subsample': np.float64(0.8835558684167137)}",0.4864396999422966,0.46247113163972287,0.4665127020785219,0.4718078445535137,0.010477021427601537,19,0.5010476087768025,0.4742877228403126,0.4748832732839275,0.48340620163368087,0.012476727791499406,18,0.7624989944491292,0.6967958220834388,0.719605892029975,0.7263002361875145,0.027237687095928796,18
24.3607763449351,2.0886658666718607,0.19717041651407877,0.04200789871311191,balanced,0.7139996989640846,0.08861577452533075,7,463,53,0.9949692657420364,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.7139996989640846), 'model__learning_rate': np.float64(0.08861577452533075), 'model__max_depth': 7, 'model__n_estimators': 463, 'model__num_leaves': 53, 'model__subsample': np.float64(0.9949692657420364)}",0.6260819388343912,0.6235565819861432,0.6252886836027713,0.6249757348077686,0.0010544538915061223,8,0.6173491021958601,0.6135501290330719,0.6158326732810007,0.6155773015033109,0.0015614011510022192,7,0.8228597863008936,0.755424963442535,0.8201103590549427,0.7994650362661239,0.031161256374708294,11
29.909088611602783,0.6791604396296977,0.2950568199157715,0.054620826604092176,,0.7139351238159992,0.016409286730647923,9,428,37,0.7039794883479599,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.7139351238159992), 'model__learning_rate': np.float64(0.016409286730647923), 'model__max_depth': 9, 'model__n_estimators': 428, 'model__num_leaves': 37, 'model__subsample': np.float64(0.7039794883479599)}",0.6335833814195038,0.6287528868360277,0.6287528868360277,0.6303630516971864,0.002277116984307208,4,0.6195046801380167,0.6144655756441769,0.6165806389062628,0.6168502982294854,0.002066023658772224,5,0.830980528403144,0.8159766837469332,0.8538323209763652,0.8335965110421474,0.01556480734193359,2
39.75738032658895,0.25094305701780567,0.19260581334431967,0.03320098135569773,,0.9896896099223678,0.041380401125610165,13,445,51,0.7692681476866446,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9896896099223678), 'model__learning_rate': np.float64(0.041380401125610165), 'model__max_depth': 13, 'model__n_estimators': 445, 'model__num_leaves': 51, 'model__subsample': np.float64(0.7692681476866446)}",0.6508944027697634,0.6333718244803695,0.6339491916859122,0.6394051396453485,0.008127554514491259,3,0.6399750420462251,0.6201295834142754,0.6230048091718866,0.6277031448774624,0.00875657185127541,1,0.8296986639737665,0.7635863907043926,0.8664826465230203,0.8199225670670599,0.04257220469132498,6
12.569215138753256,0.05551381146487483,0.06642381350199382,0.010303169370284831,balanced,0.8320457481218804,0.0017541893487450805,12,134,44,0.8173181822719722,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8320457481218804), 'model__learning_rate': np.float64(0.0017541893487450805), 'model__max_depth': 12, 'model__n_estimators': 134, 'model__num_leaves': 44, 'model__subsample': np.float64(0.8173181822719722)}",0.5072129255626082,0.48498845265588914,0.47344110854503463,0.488547495587844,0.014015087016277414,18,0.5168750734774588,0.4922787699123788,0.48101288341246273,0.4967222422674334,0.014974033168390228,16,0.7854579620228305,0.6678232177539102,0.7449024386068056,0.7327278727945155,0.04878967311731659,16
12.598073561986288,0.18630005278732562,0.0657503604888916,0.009332900911767111,balanced,0.8987566853061946,0.004201672054372531,10,153,40,0.8703100983459974,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8987566853061946), 'model__learning_rate': np.float64(0.004201672054372531), 'model__max_depth': 10, 'model__n_estimators': 153, 'model__num_leaves': 40, 'model__subsample': np.float64(0.8703100983459974)}",0.5043277553375649,0.48325635103926096,0.4815242494226328,0.4897027852664862,0.010365563377116948,17,0.5137083457700932,0.4866940356830103,0.4853224596855148,0.4952416137128728,0.013069951538652968,17,0.7676394989409135,0.6766751631360112,0.7314337951616368,0.7252494857461871,0.037392618338528395,19
15.206521908442179,0.49013980479710856,0.09748959541320801,0.019711856440218486,,0.9908753883293675,0.035503048581283086,6,301,34,0.8793699936433255,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9908753883293675), 'model__learning_rate': np.float64(0.035503048581283086), 'model__max_depth': 6, 'model__n_estimators': 301, 'model__num_leaves': 34, 'model__subsample': np.float64(0.8793699936433255)}",0.6151182919792267,0.6189376443418014,0.6356812933025404,0.6232457432078562,0.008930436448290262,9,0.602605091474941,0.6059636750069979,0.6249012972448427,0.6111566879089272,0.00981514935132258,9,0.8006728047578863,0.7655619030865559,0.8493804603368382,0.8052050560604268,0.03436852834868696,9
