mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.03062740961710612,0.0010191961251988916,0.03338917096455892,0.0014701273971865542,,15,11,9,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 11, 'model__min_samples_split': 9}",0.7453183520599251,0.6891385767790262,0.7142857142857143,0.716247547708222,0.0229772116155163,4,0.7271761722541531,0.6835269134407471,0.7011661807580175,0.7039564221509726,0.017928627648040898,5,0.7581885026737967,0.6637366310160427,0.7211357526881721,0.7143536287926705,0.03885689057995296,9
0.03011933962504069,0.002661481775650251,0.031226317087809246,0.0032809941691063463,,7,19,12,"{'model__class_weight': None, 'model__max_depth': 7, 'model__min_samples_leaf': 19, 'model__min_samples_split': 12}",0.7303370786516854,0.6591760299625468,0.7293233082706767,0.7062788056283029,0.03330926336782075,7,0.7072563236840649,0.6481183601607822,0.7136423947569459,0.689672359533931,0.029498549386534373,9,0.7844585561497326,0.6661430481283424,0.7491263440860216,0.733242649454699,0.04959071603936734,2
0.03072190284729004,0.0007376023004973009,0.029175678888956707,0.003067873177216991,,4,8,4,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_leaf': 8, 'model__min_samples_split': 4}",0.7640449438202247,0.7191011235955056,0.6879699248120301,0.7237053307425869,0.031227671189339078,2,0.7627294093705916,0.7195969403057262,0.6940440285507755,0.7254567927423644,0.028345179337648376,1,0.7696189839572193,0.7120655080213903,0.7188844086021506,0.7335229668602534,0.02567510063571205,1
0.03351386388142904,0.004374663128918851,0.031260172526041664,0.0023762747911725553,balanced,2,12,7,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 12, 'model__min_samples_split': 7}",0.6441947565543071,0.5692883895131086,0.6165413533834586,0.6100081664836248,0.03092736495003317,18,0.6571880301994887,0.5751571369624657,0.6311797192095283,0.6211749621238276,0.034228041472588656,18,0.7118983957219251,0.6560494652406417,0.6863575268817205,0.6847684626147624,0.022827901099447007,16
0.028331995010375977,0.0006326306898934492,0.031505982081095375,0.002956476494430533,balanced,1,12,13,"{'model__class_weight': 'balanced', 'model__max_depth': 1, 'model__min_samples_leaf': 12, 'model__min_samples_split': 13}",0.6292134831460674,0.5917602996254682,0.5789473684210527,0.599973717064196,0.02132706796388392,20,0.6408464137932683,0.6032604973705231,0.5907546009509381,0.6116205040382432,0.02128715907256458,20,0.6995320855614973,0.6620655080213903,0.645497311827957,0.6690316351369482,0.02260286690298831,19
0.030640204747517902,0.002104603652729549,0.03349145253499349,0.003126683703681356,,17,10,17,"{'model__class_weight': None, 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 17}",0.7453183520599251,0.7078651685393258,0.7255639097744361,0.7262491434578956,0.015297873443883942,1,0.7401451310861422,0.6976279650436953,0.7051108954927152,0.7142946638741842,0.018532557897451774,2,0.7600267379679144,0.6642713903743316,0.7364247311827957,0.7202409531750139,0.04073252305096293,6
0.027231295903523762,0.0019086502753136486,0.02823980649312337,0.0029140069121054895,,15,19,13,"{'model__class_weight': None, 'model__max_depth': 15, 'model__min_samples_leaf': 19, 'model__min_samples_split': 13}",0.7303370786516854,0.6591760299625468,0.7293233082706767,0.7062788056283029,0.03330926336782075,7,0.7072563236840649,0.6481183601607822,0.7168942765075955,0.6907563201174809,0.030405254541596708,8,0.7844585561497326,0.6661430481283424,0.7487567204301075,0.7331194415693941,0.049551543717733626,3
0.025995175043741863,0.0023252688338934956,0.027980724970499676,0.0018939761569018243,,3,5,8,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8}",0.7116104868913857,0.6704119850187266,0.6729323308270677,0.6849849342457267,0.018855203985698964,10,0.7064044859631027,0.614938873577839,0.5904038446632044,0.6372490680680487,0.049915567238689194,17,0.7129679144385026,0.6893716577540108,0.652755376344086,0.6850316495121999,0.024772487287272733,15
0.028145551681518555,0.0008427696474812752,0.03638044993082682,0.008981984293583772,,9,7,19,"{'model__class_weight': None, 'model__max_depth': 9, 'model__min_samples_leaf': 7, 'model__min_samples_split': 19}",0.7453183520599251,0.6928838951310862,0.6879699248120301,0.7087240573343472,0.025953722673520137,6,0.7253880098467927,0.6917569204667072,0.6745279152607536,0.6972242818580846,0.021120390396694125,6,0.7555815508021391,0.6693516042780748,0.7025537634408602,0.7091623061736914,0.03551202188155898,11
0.027177095413208008,0.0006287674587500232,0.02887582778930664,0.002620887172490144,balanced,14,18,10,"{'model__class_weight': 'balanced', 'model__max_depth': 14, 'model__min_samples_leaf': 18, 'model__min_samples_split': 10}",0.7116104868913857,0.6329588014981273,0.6466165413533834,0.6637286099142988,0.03431364229792699,11,0.7228612790248915,0.648336421147069,0.6606667270586104,0.6772881424101902,0.03261586726982959,11,0.7271056149732621,0.6842914438502674,0.7274529569892472,0.7129500052709256,0.0202651592418325,10
