mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,param_model__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.47731924057006836,0.1497787147234245,0.03457514444986979,0.005230043662562426,6.015308718396457,,l1,saga,,"{'model__C': np.float64(6.015308718396457), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.7565543071161048,0.7340823970037453,0.7293233082706767,0.7399866707968424,0.011875104527197942,2,0.7366201378337371,0.7315474773054237,0.7198666770017828,0.7293447640469811,0.007014678502309579,1,0.7850935828877006,0.7564839572192515,0.7233198924731182,0.7549658108600235,0.02524184070328726,10
0.05187582969665527,0.0012700084100147897,0.04061563809712728,0.0006423743219607822,0.3811544088653064,balanced,l2,lbfgs,,"{'model__C': np.float64(0.3811544088653064), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7415730337078652,0.704119850187266,0.6616541353383458,0.7024490064111589,0.032648137959588736,11,0.7488777322057224,0.7156628706878756,0.6714698834999587,0.7120034954645189,0.031707381165722144,7,0.7942513368983958,0.781283422459893,0.725268817204301,0.7669345255208633,0.02993398445871309,4
0.04885013898213705,0.00456205021004093,0.039655208587646484,0.0027607003784586048,0.00039796923010559904,,l2,saga,,"{'model__C': np.float64(0.00039796923010559904), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.700374531835206,0.700374531835206,0.6992481203007519,0.6999990613237213,0.0005309954896128452,13,0.5769605174149053,0.5769605174149053,0.5754873910439816,0.576469475291264,0.0006944384309499051,15,0.7411096256684492,0.7355614973262031,0.7321908602150538,0.7362873277365688,0.0036770655548166407,15
0.057422796885172524,0.0008296350462951019,0.03773657480875651,0.006902934613491175,0.4042872735027334,balanced,l2,lbfgs,,"{'model__C': np.float64(0.4042872735027334), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7415730337078652,0.700374531835206,0.6616541353383458,0.7012005669604724,0.032631981548480134,12,0.7488777322057224,0.7119347705839865,0.6714698834999587,0.7107607954298891,0.03161252308353371,10,0.7943181818181819,0.7810828877005348,0.7246639784946236,0.7666883493377802,0.030202969624056428,5
0.04884417851765951,0.010043655670698537,0.03762698173522949,0.0022407967823428695,0.00013289448722869195,balanced,l2,saga,,"{'model__C': np.float64(0.00013289448722869195), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.6666666666666666,0.704119850187266,0.6879699248120301,0.6862521472219876,0.01533836820620244,18,0.6754373541060141,0.7143841075122626,0.6954832773028298,0.6951015796403688,0.015902236112172546,12,0.7395053475935829,0.7331550802139037,0.7311827956989247,0.7346144078354705,0.0035509102438783316,17
0.05362248420715332,0.006018263294192968,0.03815746307373047,0.003781205632010414,0.0018794668241638478,balanced,elasticnet,saga,0.1,"{'model__C': np.float64(0.0018794668241638478), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.1, 'model__penalty': 'elasticnet', 'model__solver': 'saga'}",0.5917602996254682,0.599250936329588,0.6052631578947368,0.5987581312832644,0.005523521700886787,19,0.6080004809108991,0.613662805638084,0.6170619371011964,0.6129084078833932,0.0037375869266485493,14,0.618048128342246,0.6337566844919785,0.6338373655913978,0.6285473928085408,0.007424174167759948,18
0.042423645655314125,0.0030210057284931497,0.0325474739074707,0.002753101196216081,0.006690421166498805,balanced,l2,lbfgs,,"{'model__C': np.float64(0.006690421166498805), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7078651685393258,0.7228464419475655,0.6992481203007519,0.7099865769292144,0.00975005901876618,4,0.7158424850293066,0.7337696115786004,0.707973229777741,0.7191951087952161,0.01079485658668773,3,0.7776069518716578,0.7678475935828878,0.7476478494623655,0.7643674649723037,0.01247585469756871,8
0.039926608403523765,0.003911145971467698,0.03911097844441732,0.005869337484562757,0.039054412752107935,,l2,lbfgs,,"{'model__C': np.float64(0.039054412752107935), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7415730337078652,0.700374531835206,0.7481203007518797,0.7300226220983171,0.021134073887502,3,0.6904556118039265,0.6593187734932061,0.7071833142591987,0.685652566518777,0.019833565803005732,13,0.7975267379679144,0.7856951871657754,0.7487231182795698,0.7773150144710864,0.02078651477065118,2
0.11891818046569824,0.022321591344834225,0.036956787109375,0.0014033573966838583,0.4689400963537689,balanced,l2,saga,,"{'model__C': np.float64(0.4689400963537689), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.7415730337078652,0.6966292134831461,0.6691729323308271,0.7024583931739462,0.029843236774318743,10,0.7488777322057224,0.7084644623508599,0.6781537176274018,0.7118319707279946,0.02897098138967312,8,0.7931818181818182,0.7793449197860963,0.7238575268817204,0.7654614216165451,0.029955833957490973,6
0.0731663703918457,0.010595798746361391,0.029240846633911133,0.0054542161092546795,0.054502936945582565,,l2,saga,,"{'model__C': np.float64(0.054502936945582565), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.7490636704119851,0.7265917602996255,0.7443609022556391,0.7400054443224166,0.009677265329301318,1,0.7108849313465897,0.702154335172118,0.7093970004587064,0.707478755659138,0.0038136224881974673,11,0.7998663101604278,0.7870320855614973,0.7456317204301075,0.7775100387173443,0.02314230920314168,1
